,userId,count_of,challenges_cat,tagged
553,9329d4b7515f47e4aa4ff6bbac262ed7,"[7.0, 7.0, 7.0, 7.0]","['Education', 'MentalHealth', 'Parenting', 'Religion']","[{'Education': 7.0}, {'MentalHealth': 7.0}, {'Parenting': 7.0}, {'Religion': 7.0}]"
554,9350fc7248b44d9383f8759ecb5044ae,"[1253.0, 985.0, 789.0, 603.0, 532.0, 532.0, 532.0, 294.0, 270.0, 212.0]","['Love', 'Emotions', 'Marriage', 'GenderDynamics', 'Divorce', 'Relationship', 'Strength', 'Education', 'Motherhood', 'SelfCare']","[{'Love': 1253.0}, {'Emotions': 985.0}, {'Marriage': 789.0}, {'GenderDynamics': 603.0}, {'Divorce': 532.0}, {'Relationship': 532.0}, {'Strength': 532.0}, {'Education': 294.0}, {'Motherhood': 270.0}, {'SelfCare': 212.0}]"
555,935963872884430283b09decdf8f245e,[22.0],['Love'],[{'Love': 22.0}]
556,93aab516a17247dd9b2ade391b872ecd,[19.0],['SelfCare'],[{'SelfCare': 19.0}]
557,93ee98a434104c038250c8535d48b46b,"[16.0, 16.0]","['BeautyFashion', 'Emotions']","[{'BeautyFashion': 16.0}, {'Emotions': 16.0}]"
558,947aca70c43f40a188c281141805b8ef,"[42.0, 42.0, 42.0, 42.0]","['Emotions', 'GenderDynamics', 'MentalHealth', 'Motherhood']","[{'Emotions': 42.0}, {'GenderDynamics': 42.0}, {'MentalHealth': 42.0}, {'Motherhood': 42.0}]"
559,94b043c4926d49cd957c69190fc72f49,"[67.0, 27.0, 17.0]","['SelfCare', 'FamilyRelationships', 'Education']","[{'SelfCare': 67.0}, {'FamilyRelationships': 27.0}, {'Education': 17.0}]"
560,94db78aa0ba24089916a4935c20eacb9,"[30.0, 30.0]","['Emotions', 'MoviesTV']","[{'Emotions': 30.0}, {'MoviesTV': 30.0}]"
561,952783435288439ca958ecacda32f02d,"[22.0, 22.0]","['Empowerment', 'WorkingMothers']","[{'Empowerment': 22.0}, {'WorkingMothers': 22.0}]"
562,952d250cd3fd4d7eaff0d9978e1b961d,"[9.0, 9.0, 9.0, 9.0, 5.0, 5.0]","['Activities', 'Education', 'Love', 'Schooling', 'FamilyRelationships', 'Marriage']","[{'Activities': 9.0}, {'Education': 9.0}, {'Love': 9.0}, {'Schooling': 9.0}, {'FamilyRelationships': 5.0}, {'Marriage': 5.0}]"
563,9568af99feac4d09bc411330b5967dc4,"[34.0, 11.0]","['Religion', 'SocialMedia']","[{'Religion': 34.0}, {'SocialMedia': 11.0}]"
564,9597febac022449daef0f83a5d3b8786,"[32.0, 32.0]","['Covid', 'Education']","[{'Covid': 32.0}, {'Education': 32.0}]"
565,95c05d9b22174b34a16238477c7dcba5,"[14.0, 14.0]","['HealthWellness', 'HealthyEating']","[{'HealthWellness': 14.0}, {'HealthyEating': 14.0}]"
566,95d12deda5d34a9580c62a46f6a5ea20,[24.0],['Nostalgia'],[{'Nostalgia': 24.0}]
567,95d9b1e702c04a4190a074561fa949e8,"[268.0, 268.0, 268.0, 220.0, 118.0, 106.0, 106.0, 81.0, 63.0, 55.0]","['Cooking', 'HealthyEating', 'Ingredient', 'Vegetarian', 'Love', 'Marriage', 'Relationship', 'Education', 'ChildDevelopment', 'Parenting']","[{'Cooking': 268.0}, {'HealthyEating': 268.0}, {'Ingredient': 268.0}, {'Vegetarian': 220.0}, {'Love': 118.0}, {'Marriage': 106.0}, {'Relationship': 106.0}, {'Education': 81.0}, {'ChildDevelopment': 63.0}, {'Parenting': 55.0}]"
568,9613344a754744c7be92656059e04f8d,"[177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0]","['Activities', 'Education', 'Parenting', 'Reading', 'Schooling', 'Technology', 'TimeManagement']","[{'Activities': 177.0}, {'Education': 177.0}, {'Parenting': 177.0}, {'Reading': 177.0}, {'Schooling': 177.0}, {'Technology': 177.0}, {'TimeManagement': 177.0}]"
569,96219b710c0d48cd8c76bb61af13095e,"[3.0, 3.0]","['Love', 'Strength']","[{'Love': 3.0}, {'Strength': 3.0}]"
570,9663cb2dc4974265ab79456e4d2d81cd,"[33.0, 28.0, 28.0, 28.0, 28.0]","['Strength', 'Emotions', 'GenderDynamics', 'Marriage', 'Parenting']","[{'Strength': 33.0}, {'Emotions': 28.0}, {'GenderDynamics': 28.0}, {'Marriage': 28.0}, {'Parenting': 28.0}]"
571,966eff2b02c14c2c8fbee4ec2cf50cad,"[437.0, 437.0, 266.0, 266.0, 171.0, 171.0, 171.0]","['Love', 'Strength', 'Education', 'Gratitude', 'Emotions', 'Nostalgia', 'Relationship']","[{'Love': 437.0}, {'Strength': 437.0}, {'Education': 266.0}, {'Gratitude': 266.0}, {'Emotions': 171.0}, {'Nostalgia': 171.0}, {'Relationship': 171.0}]"
572,96774c41b28c4bcabaa2c8c9e9313b43,"[8931.0, 4599.0, 3801.0, 2920.0, 1959.0, 1328.0, 1132.0, 1105.0, 1086.0, 1078.0]","['Love', 'Parenting', 'Strength', 'Education', 'Marriage', 'Emotions', 'Happiness', 'HealthWellness', 'Motherhood', 'Relationship']","[{'Love': 8931.0}, {'Parenting': 4599.0}, {'Strength': 3801.0}, {'Education': 2920.0}, {'Marriage': 1959.0}, {'Emotions': 1328.0}, {'Happiness': 1132.0}, {'HealthWellness': 1105.0}, {'Motherhood': 1086.0}, {'Relationship': 1078.0}]"
573,97238c130aa74284aa160a14281bff97,"[114.0, 46.0, 33.0, 33.0, 14.0]","['SelfCare', 'Love', 'Parenting', 'Strength', 'HealthWellness']","[{'SelfCare': 114.0}, {'Love': 46.0}, {'Parenting': 33.0}, {'Strength': 33.0}, {'HealthWellness': 14.0}]"
574,97556181332747b6a514181817646c30,"[76.0, 57.0, 57.0, 57.0, 25.0, 19.0, 19.0, 18.0, 6.0, 6.0]","['BeautyFashion', 'BabyCare', 'Cooking', 'SkinCare', 'HealthyEating', 'Culture', 'Festivals', 'SelfCare', 'Exercise', 'MentalHealth']","[{'BeautyFashion': 76.0}, {'BabyCare': 57.0}, {'Cooking': 57.0}, {'SkinCare': 57.0}, {'HealthyEating': 25.0}, {'Culture': 19.0}, {'Festivals': 19.0}, {'SelfCare': 18.0}, {'Exercise': 6.0}, {'MentalHealth': 6.0}]"
575,979c940c94d54f2cb256ee95189f9239,[76.0],['TravellingWithKids'],[{'TravellingWithKids': 76.0}]
576,98065f8f4e4847a08d6d2a3c3a2f9f50,[5.0],['Education'],[{'Education': 5.0}]
577,9821dd40622a45b38e538a88bf3632ad,"[349.0, 349.0, 344.0, 202.0, 146.0, 146.0, 112.0, 107.0, 56.0, 51.0]","['Relationship', 'Strength', 'Love', 'Empowerment', 'Education', 'Emotions', 'MentalHealth', 'Marriage', 'GenderDynamics', 'SelfCare']","[{'Relationship': 349.0}, {'Strength': 349.0}, {'Love': 344.0}, {'Empowerment': 202.0}, {'Education': 146.0}, {'Emotions': 146.0}, {'MentalHealth': 112.0}, {'Marriage': 107.0}, {'GenderDynamics': 56.0}, {'SelfCare': 51.0}]"
578,9828e859af2040e3b342f0dc3073c2c9,"[302.0, 250.0, 250.0, 170.0, 125.0, 120.0, 120.0, 120.0, 64.0, 47.0]","['Emotions', 'Motherhood', 'Parenting', 'BeautyFashion', 'Love', 'Grief', 'Happiness', 'Strength', 'MentalHealth', 'Cooking']","[{'Emotions': 302.0}, {'Motherhood': 250.0}, {'Parenting': 250.0}, {'BeautyFashion': 170.0}, {'Love': 125.0}, {'Grief': 120.0}, {'Happiness': 120.0}, {'Strength': 120.0}, {'MentalHealth': 64.0}, {'Cooking': 47.0}]"
579,98679e6d54ef4559bde5340a511f53b5,"[17.0, 17.0, 17.0]","['Books', 'Education', 'Reading']","[{'Books': 17.0}, {'Education': 17.0}, {'Reading': 17.0}]"
580,987aa188bf0a49d19eeb00f9baceeca5,"[56.0, 56.0, 41.0, 41.0, 41.0, 29.0, 29.0]","['Cooking', 'MentalHealth', 'BeautyFashion', 'Covid', 'MoviesTV', 'Love', 'SelfCare']","[{'Cooking': 56.0}, {'MentalHealth': 56.0}, {'BeautyFashion': 41.0}, {'Covid': 41.0}, {'MoviesTV': 41.0}, {'Love': 29.0}, {'SelfCare': 29.0}]"
581,98e0b396cb1b4c65b02100ee1e644d27,"[8.0, 8.0]","['Education', 'Love']","[{'Education': 8.0}, {'Love': 8.0}]"
582,98f971b1b3fe47a2afc4e4b2f304f8cf,"[5.0, 5.0, 5.0, 5.0]","['Education', 'MentalHealth', 'Parenting', 'Strength']","[{'Education': 5.0}, {'MentalHealth': 5.0}, {'Parenting': 5.0}, {'Strength': 5.0}]"
583,99bf9ea8f3e741d1ad2b40f94001c3e9,"[27.0, 27.0]","['Cooking', 'Emotions']","[{'Cooking': 27.0}, {'Emotions': 27.0}]"
584,99c2d702214840fc80c5fc63df65afa3,"[8.0, 8.0, 8.0]","['Cooking', 'Motherhood', 'SelfCare']","[{'Cooking': 8.0}, {'Motherhood': 8.0}, {'SelfCare': 8.0}]"
585,9a0299be661d4fcf9614d2b684d5173b,"[29.0, 29.0, 29.0, 29.0]","['Covid', 'HealthyEating', 'MentalHealth', 'Pregnancy']","[{'Covid': 29.0}, {'HealthyEating': 29.0}, {'MentalHealth': 29.0}, {'Pregnancy': 29.0}]"
586,9a3f5e4ec6a149a69370e56fccedbf92,"[87.0, 14.0, 14.0]","['SocialMedia', 'Education', 'Love']","[{'SocialMedia': 87.0}, {'Education': 14.0}, {'Love': 14.0}]"
587,9aebdfc736e3472d90001cad861159d3,"[45.0, 37.0, 36.0, 36.0, 11.0, 8.0]","['Education', 'Hygiene', 'Parenting', 'Strength', 'Love', 'MentalHealth']","[{'Education': 45.0}, {'Hygiene': 37.0}, {'Parenting': 36.0}, {'Strength': 36.0}, {'Love': 11.0}, {'MentalHealth': 8.0}]"
